品名,CAS号
氯酸溶液[浓度≤10%],7790-93-4
氯磺酸,7790-94-5
高氯酸铵,7790-98-9
一氯化碘,7790-99-0
高氯酸锂,7791-03-9
氯酸锶,7791-10-8
氯化亚铊,7791-12-0
氧氯化硒,7791-23-3
氧氯化硫,7791-25-5
氯化二硫酰,7791-27-7
乙基三乙氧基硅烷,78-07-9
乙烯三乙氧基硅烷,78-08-0
硅酸四乙酯,78-10-4
季戊四醇四硝酸酯[含蜡≥7%],78-11-5
"过氧化环己酮[含量≤72%,含A型稀释剂≥28%]",78-18-2
"S,S´-(1,4-二噁烷2,3-二基)O,O,O´,O´-四乙基双(二硫代磷酸酯)",78-34-2
"S,S,S-三丁基三硫代磷酸酯",78-48-8
二甲基二乙氧基硅烷,78-62-6
"2,5-二甲基-2,5-二(叔丁基过氧)己烷[90%＜含量≤100%]",78-63-7
"2,2'-偶氮二异丁腈",78-67-1
"1,2-二溴丙烷",78-75-1
2-溴丁烷,78-76-2
1-溴-2-甲基丙烷,78-77-3
2-甲基丁烷,78-78-4
"2-甲基-1,3-丁二烯[稳定的]",78-79-5
异丙烯基乙炔,78-80-8
异丁胺,78-81-9
异丁腈,78-82-0
2-甲基-1-丙醇,78-83-1
异丁醛,78-84-2
α-甲基丙烯醛,78-85-3
2-氯丁烷,78-86-4
"1,2-二氯丙烷",78-87-5
"2,3-二氯丙烯",78-88-6
2-氯-1-丙醇,78-89-7
"1,2-丙二胺",78-90-0
2-丁醇,78-92-2
2-丁酮,78-93-3
一氯丙酮,78-95-5
锑化氢,7803-52-3
二氨基镁,7803-54-5
偏钒酸铵,7803-55-6
甲硅烷,7803-62-5
硫酸氢铵,7803-63-6
"O,O-二乙基-S-(4-氯苯硫基甲基)二硫代磷酸酯",786-19-6
"1,1,2-三氯乙烷",79-00-5
三氯乙烯,79-01-6
丙酰氯,79-03-8
氯乙酰氯,79-04-9
丙烯酰胺,79-06-1
溴乙酸,79-08-3
丙酸,79-09-4
丙烯酸[稳定的],79-10-7
氯乙酸,79-11-8
乙酸甲酯,79-20-9
"过乙酸[含量≤16%,含水≥39%,含乙酸≥15%,含过氧化氢≤24%,含有稳定剂]",79-21-0
硝基乙烷,79-24-3
"1,1,2,2-四溴乙烷",79-27-6
"2,3-二甲基丁烷",79-29-8
异丁酰氯,79-30-1
异丁酸,79-31-2
"1,1,2,2-四氯乙烷",79-34-5
二氯乙酰氯,79-36-7
乙二酰氯,79-37-8
三氟氯乙烯[稳定的],79-38-9
甲基丙烯酸[稳定的],79-41-4
2-巯基丙酸,79-42-5
二氯乙酸,79-43-6
二甲氨基甲酰氯,79-44-7
2-硝基丙烷,79-46-9
三氯三氟丙酮,79-52-7
莰烯,79-92-5
二苯基二氯硅烷,80-10-4
"过氧化氢异丙苯[90%＜含量≤98%,含A型稀释剂≤10%]",80-15-9
苯磺酰肼,80-17-1
过氧化二异丙苯[52%＜含量≤100%],80-43-3
过氧化氢对孟烷,80-47-7
二(苯磺酰肼)醚,80-51-3
2-羟基异丁酸乙酯,80-55-7
α-蒎烯,80-56-8
甲基丙烯酸甲酯[稳定的],80-62-6
邻硝基苯磺酸,80-82-0
迷迭香油,8000-25-7
八氯莰烯,8001-35-2
石油原油,8002-05-9
松油,8002-09-3
松油精,8002-16-2
天然气[富含甲烷的],8006-14-2
钠石灰[含氢氧化钠＞4%],8006-28-8
松节油,8006-64-2
土荆芥油,8006-99-3
腰果壳油,8007-24-7
煤焦油,8007-45-2
硝基盐酸,8007-56-5
煤油,8008-20-6
樟脑油,8008-51-3
阿片,8008-60-4
松焦油,8011-48-1
杂戊醇,8013-75-0
发烟硫酸,8014-95-7
乳香油,8016-36-2
多聚磷酸,8017-16-1
木馏油,8021-39-4
石脑油,8030-30-6
石油醚,8032-32-4
"硝化纤维塑料[板、片、棒、管、卷等状,不包括碎屑]",8050-88-2
3-(1-甲基丁基)苯基-N-甲基氨基甲酸酯 和 3-(1-乙基丙基)苯基-N-甲基氨基甲酸酯,8065-36-9
"5-叔丁基-2,4,6-三硝基间二甲苯",81-15-2
"2-硝基-1,3-二甲苯",81-20-9
3-(α-乙酰甲基苄基)-4-羟基香豆素,81-81-2
"1,8-萘二甲酸酐",81-84-5
氯甲酸环丁酯,81228-87-7
甲基异丙烯甲酮[稳定的],814-78-8
二丁基氧化锡,818-08-6
五氯硝基苯,82-68-8
"2,4,6-三硝基间苯二酚",82-71-3
六亚甲基二异氰酸酯,822-06-0
"2,6-二氨基甲苯",823-40-5
邻硝基苯酚钾,824-38-4
苯基氧氯化膦,824-72-6
对硝基苯酚钠,824-78-2
"2-特戊酰-2,3-二氢-1,3-茚二酮",83-26-1
苊,83-32-9
"3-硝基-1,2-二甲苯",83-41-0
"4,6-二硝基-2-氨基苯酚钠",831-52-7
"2,3-二氰-5,6-二氯氢醌",84-58-2
邻苯二甲酸二异丁酯,84-69-5
"N,N-二乙基-1-萘胺",84-95-7
支链-4-壬基酚,84852-15-3
邻苯二甲酰亚胺,85-41-6
邻苯二甲酸酐[含马来酸酐大于0.05%],85-44-9
三丁基锡环烷酸,85409-17-2
短链氯化石蜡（C10-13）,85535-84-8
2-硝基联苯,86-00-0
N-亚硝基二苯胺,86-30-6
"O,O-二甲基-S-(3,4-二氢-4-氧代苯并[d]-[1,2,3]-三氮苯-3-基甲基)二硫代磷酸酯",86-50-0
1-萘甲腈,86-53-3
1-硝基萘,86-57-7
亚氨基二亚苯,86-74-8
1-萘基硫脲,86-88-4
汽油,86290-81-5
甲醇钾,865-33-8
三氯化碘,865-44-1
二氯醛基丙烯酸,87-56-9
"2,3-二甲基苯胺",87-59-2
"1,2,3-三氯代苯",87-61-6
"2,6-二甲基苯胺",87-62-7
"2,6-二氯苯酚",87-65-0
"六氯-1,3-丁二烯",87-68-3
三氯异氰脲酸,87-90-1
2-丙烯-1-硫醇,870-23-5
1-癸烯,872-05-9
"2,4,6-三氯苯酚",88-06-2
2-氯三氟甲苯,88-16-4
2-三氟甲基苯胺,88-17-5
2-叔丁基苯酚,88-18-6
邻异丙基苯酚,88-69-7
2-硝基甲苯,88-72-2
2-氯硝基苯,88-73-3
2-硝基苯胺,88-74-4
2-硝基苯酚,88-75-5
"2-仲丁基-4,6-二硝基酚",88-85-7
"2,4,6-三硝基氯苯",88-88-0
"2,4,6-三硝基苯酚",88-89-1
邻苯二甲酰氯,88-95-9
"2,4-二硝基萘酚钠",887-79-6
苯四甲酸酐,89-32-7
4-氯-2-硝基甲苯,89-59-8
"2,5-二氯硝基苯",89-61-2
2-硝基-4-甲苯胺,89-62-3
4-氯-2-硝基苯胺,89-63-4
4-氯-2-硝基苯酚,89-64-5
"2,4-二氯苯甲酰氯",89-75-8
"4-硝基-1,3-二甲苯",89-87-2
甲基苄基溴,89-92-9
"二-(4-甲基苯甲酰)过氧化物[硅油糊状物,含量≤52%]",895-85-2
水杨醛,90-02-8
2-氯汞苯酚,90-03-9
2-甲氧基苯胺,90-04-0
1-甲基萘,90-12-0
1-氯化萘,90-13-1
2-氨基联苯,90-41-5
2-苯基苯酚,90-43-7
三苯基乙酸锡,900-95-8
聚乙醛,9002-91-9
硝化纤维素[干的或含水（或乙醇）＜25%],9004-70-0
树脂酸钙,9007-13-0
树脂酸锰,9008-34-8
树脂酸锌,9010-69-9
壬基酚聚氧乙烯醚,9016-45-9
硝化淀粉,9056-38-6
多硫化铵溶液,9080-17-5
"甲苯-2,6-二异氰酸酯",91-08-7
十氢化萘,91-17-8
萘,91-20-3
喹啉,91-22-5
2-硝基苯甲醚,91-23-6
2-甲基萘,91-57-6
2-萘胺,91-59-8
6-甲基喹啉,91-62-3
2-甲基喹啉,91-63-4
"N,N-二乙基苯胺",91-66-7
"3,3’-二氯联苯胺",91-94-1
1-萘氧基二氯化膦,91270-74-5
乙醇钾,917-58-8
亚砷酸锶,91724-16-2
联苯,92-52-4
N-苄基-N-乙基苯胺,92-59-1
4-氨基联苯,92-67-1
"4,4'-二氨基联苯",92-87-5
4-硝基联苯,92-93-3
"3,4-二甲基庚烷",922-28-1
3-甲基-2-戊烯,922-61-2
"1,3-二氯-2-丁烯",926-57-8
"N,N-二甲基丙胺",926-63-6
"3,5-二甲基庚烷",926-82-9
"叔丁基过氧新戊酸酯[27%＜含量≤67%,含B型稀释剂≥33%]",927-07-1
硝酸正丁酯,928-45-0
3-己炔,928-49-4
己基三氯硅烷,928-65-4
2-(2-氨基乙氧基)乙醇,929-06-6
苯甲酸甲酯,93-58-3
过氧化氢苯甲酰,93-59-4
2-氯乙酰-N-乙酰苯胺,93-70-9
"2-(2,4,5-三氯苯氧基)丙酸",93-72-1
"2,4,5-三氯苯氧乙酸",93-76-5
氯化环戊烷,930-28-9
2-环己烯-1-酮,930-68-7
环辛烯,931-87-3
硝基三唑酮,932-64-9
"3-氯苯过氧甲酸[57%＜含量≤86%,惰性固体含量≥14%]",937-14-4
甲基苄基亚硝胺,937-40-6
过氧化二-(4-氯苯甲酰)[含量≤77%],94-17-7
"过氧化二苯甲酰[51%＜含量≤100%,惰性固体含量≤48%]",94-36-0
2-乙氧基苯胺,94-70-2
5-氯-2-甲氧基苯胺,95-03-4
"N,N-二乙基二硫代氨基甲酸-2-氯烯丙基酯",95-06-7
2-溴甲苯,95-46-5
"1,2-二甲苯",95-47-6
2-甲酚,95-48-7
2-氯甲苯,95-49-8
"1,2-二氯苯",95-50-1
2-氯苯胺,95-51-2
2-氟甲苯,95-52-3
2-甲基苯胺,95-53-4
"1,2-苯二胺",95-54-5
2-氨基苯酚,95-55-6
2-溴苯酚,95-56-7
2-氯苯酚,95-57-8
"1,2,4-三甲基苯",95-63-6
"3,4-二甲基苯胺",95-64-7
"3,4-二甲苯酚",95-65-8
"2,4-二甲基苯胺",95-68-1
"2,5-二氨基甲苯",95-70-5
"2,4-二氯甲苯",95-73-8
"3,4-二氯甲苯",95-75-0
"3,4-二氯苯胺",95-76-1
"3,4-二氯苯酚",95-77-2
"2,5-二甲基苯胺",95-78-3
5-氯-2-甲基苯胺,95-79-4
"2,4-二氨基甲苯",95-80-7
"2,5-二氯苯胺",95-82-9
4-氯-2-氨基苯酚,95-85-2
"2,5-二甲苯酚",95-87-4
乙二酸二乙酯,95-92-1
"1,2,4,5-四甲苯",95-93-2
"1,2,4,5-四氯代苯",95-94-3
"2,4,5-三氯苯酚",95-95-4
"O,O-二甲基-S-(2,3-二氢-5-甲氧基-2-氧代-1,3,4-噻二唑-3-基甲基)二硫代磷酸酯",950-37-8
"3-羟基-1,1-二甲基丁基过氧新癸酸[含量≤52%,含A型稀释剂≥48%]",95718-78-8
甲基丙烯酸烯丙酯,96-05-9
氧化苯乙烯,96-09-3
氯化二乙基铝,96-10-6
3-甲基戊烷,96-14-0
"1,2,3-三氯丙烷",96-18-4
3-戊酮,96-22-0
"1,3-二氯-2-丙醇",96-23-1
"3-氯-1,2-丙二醇",96-24-2
2-丁酮肟,96-29-7
溴乙酸甲酯,96-32-2
丙烯酸甲酯[稳定的],96-33-3
氯乙酸甲酯,96-34-4
甲基环戊烷,96-37-7
环戊醇,96-41-3
2-甲基四氢呋喃,96-47-9
"N,N-二异丙基乙醇胺",96-80-0
"4,6-二硝基-2-氨基苯酚",96-91-3
"2,4-二硝基二苯胺",961-68-2
"1-(2-叔丁基过氧异丙基)-3-异丙烯基苯[含量≤42%,惰性固体含量≥58%]",96319-55-0
"1-氯-2,4-二硝基苯",97-00-7
"2,4-二硝基苯胺",97-02-9
4-硝基-2-甲氧基苯胺,97-52-9
异丁酸乙酯,97-62-1
甲基丙烯酸乙酯[稳定的],97-63-2
2-羟基丙酸乙酯,97-64-3
异丁酸酐,97-72-3
异丁酸异丁酯,97-85-8
甲基丙烯酸异丁酯[稳定的],97-86-9
甲基丙烯酸正丁酯[稳定的],97-88-1
三乙基铝,97-93-8
三乙基硼,97-94-9
2-乙基-1-丁醇,97-95-0
2-乙基丁醛,97-96-1
二甲基氯乙缩醛,97-97-2
2-呋喃甲醇,98-00-0
糠醛,98-01-1
2-硫代呋喃甲醇,98-02-2
苯胂酸,98-05-5
叔丁基苯,98-06-6
三氯甲苯,98-07-7
三氟甲苯,98-08-8
苯磺酰氯,98-09-9
环己基三氯硅烷,98-12-4
苯基三氯硅烷,98-13-5
3-氯三氟甲苯,98-15-7
3-三氟甲基苯胺,98-16-8
间硝基苯磺酸,98-47-5
"1,3-苯二磺酸溶液",98-48-6
4-氨基苯胂酸,98-50-0
4-叔丁基苯酚,98-54-4
4-氯三氟甲苯,98-56-6
4-溴苯磺酰氯,98-58-8
对甲苯磺酰氯,98-59-9
4-硝基苯胂酸,98-72-6
4-硝基苯磺酰氯,98-74-8
异丙基苯,98-82-8
2-苯基丙烯,98-83-9
α-甲基苯基甲醇,98-85-1
"α,α-二氯甲苯",98-87-3
苯甲酰氯,98-88-4
"N,N-二甲基环己胺",98-94-2
硝基苯,98-95-3
3-硝基甲苯,99-08-1
3-硝基苯胺,99-09-2
"5-硝基-1,3-二甲苯",99-12-7
"3,5-二硝基苯甲酰氯",99-33-2
"1,3,5-三硝基苯",99-35-4
"4-硝基-1,2-二甲苯",99-51-4
4-硝基-2-甲苯胺,99-52-5
"3,4-二氯硝基苯",99-54-7
4-硝基-2-氨基苯酚,99-57-0
间苯二甲酰氯,99-63-8
"1,3-二硝基苯",99-65-0
4-溴苯乙酰基溴,99-73-0
甲基异丙基苯,99-87-6
对异丙基苯酚,99-89-8
"4-氨基-N,N-二甲基苯胺",99-98-9
4-硝基甲苯,99-99-0
N-(苯乙基-4-哌啶基)丙酰胺柠檬酸盐,990-73-8
甲酸亚铊,992-98-3
甲基氯硅烷,993-00-0
"4,4-双-(过氧化叔丁基)戊酸正丁酯[52%＜含量≤100%]",995-33-5
O-甲基-O-[(2-异丙氧基甲酰)苯基]-N-异丙基硫代磷酰胺,99675-03-3
六甲基二硅烷胺,999-97-3
